Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
267,2.35388,-0.106073,0.0744067,23.1613,6.77912,460.998,88,64,64,80
268,2.35025,-0.112249,0.0702134,26.4944,6.77596,460.55,88,64,64,80
269,2.33416,-0.128779,0.0525125,30.729,5.87769,459.821,88,64,64,80
270,2.35461,-0.109342,0.0692654,35.2095,7.72134,460.512,88,64,64,80
271,2.35213,-0.105139,0.0711629,40.2623,8.20845,460.045,84,64,64,80
272,2.33753,-0.119334,0.0546119,46.0165,7.82058,459.548,84,64,64,80
273,2.34828,-0.119219,0.0631714,52.5947,9.42502,459.628,84,64,64,80
274,2.34028,-0.120644,0.0588814,59.4404,9.77593,459.298,84,64,64,80
275,2.34703,-0.119066,0.0632723,67.0642,11.1863,459.499,84,64,64,80
276,2.33943,-0.122279,0.0576083,74.7462,11.5958,459.148,84,64,64,80
277,2.34511,-0.121866,0.0669031,83.7979,13.4273,459.312,84,64,64,80
278,2.34149,-0.124038,0.0632916,93.0889,14.4628,459.468,84,64,64,80
279,2.34954,-0.106332,0.074732,102.266,16.6675,459.857,84,64,64,80
280,2.33431,-0.128158,0.051391,113.032,16.929,459.961,84,64,64,80
281,0.61917,1.2936,1.34195,92.4155,43.6313,458.232,80,64,64,80
282,0.618808,1.28082,1.34983,104.307,46.0942,459.014,80,64,64,80
283,0.621577,1.27878,1.34264,116.386,48.0162,459.675,80,64,64,80
284,-0.934913,0.458772,-1.3876,130.736,51.4662,463.098,80,64,64,80
285,-0.930121,0.458249,-1.3917,144.199,53.8247,463.922,80,64,64,80
286,-0.919299,0.462154,-1.39038,158.383,56.0028,464.539,80,64,64,80
287,-0.917443,0.459606,-1.39396,173.249,58.666,465.473,80,64,64,80
288,-0.916042,0.451213,-1.39778,188.642,61.9174,466.672,80,64,64,80
289,-0.907166,0.454699,-1.40296,204.595,64.6092,467.429,80,64,64,80
290,-0.90088,0.457884,-1.40503,221.104,67.7142,468.34,80,64,64,80
291,-0.898877,0.449328,-1.40938,238.422,71.2602,469.895,76,64,64,80
292,-0.889464,0.453517,-1.41271,256.165,74.604,470.721,76,64,64,80
293,-0.886086,0.447536,-1.41635,274.688,78.3807,472.162,76,64,64,80
